　	zxaa
，	zxab
、	zxac
。	zxad
．	zxae
‧	zxaf
；	zxag
：	zxah
？	zxai
！	zxaj
︰	zxak
…	zxal
‥	zxam
﹐	zxan
﹑	zxao
﹒	zxap
·	zxaq
﹔	zxar
﹕	zxas
﹖	zxat
﹗	zxau
｜	zxav
–	zxaw
︱	zxax
—	zxay
︳	zxba
╴	zxbb
︴	zxbc
﹏	zxbd
（	zxbe
）	zxbf
︵	zxbg
︶	zxbh
｛	zxbi
｝	zxbj
︷	zxbk
︸	zxbl
〔	zxbm
〕	zxbn
︹	zxbo
︺	zxbp
【	zxbq
】	zxbr
︻	zxbs
︼	zxbt
《	zxbu
》	zxbv
︽	zxbw
︾	zxbx
〈	zxby
〉	zxca
︿	zxcb
﹀	zxcc
「	zxcd
」	zxce
﹁	zxcf
﹂	zxcg
『	zxch
』	zxci
﹃	zxcj
﹄	zxck
﹙	zxcl
﹚	zxcm
﹛	zxcn
﹜	zxco
﹝	zxcp
﹞	zxcq
‘	zxcr
’	zxcs
“	zxct
”	zxcu
〝	zxcv
〞	zxcw
‵	zxcx
′	zxcy
〟	zxcz
〃	zxda
〆	zxdb
〒	zxdc
〓	zxdd
〔	zxde
〕	zxdf
〖	zxde
〗	zxdf
〘	zxdg
〙	zxdh
〚	zxdi
〛	zxdj
〜	zxdk
〠	zxdl
〶	zxdm
〰	zxdn
〷	zxdo
〻	zxdp
〼	zxdq
〽	zxdr
〿	zxds
→	zxdt
←	zxdu
↓	zxdv
↗	zxdw
↘	zxdx
↖	zxdy
↙	zxdz
↑	zxea
△	zxeb
▲	zxec
▽	zxed
▼	zxee
◇	zxef
◆	zxeg
□	zxeh
■	zxei
☆	zxej
★	zxek
○	zxel
●	zxem
⊙	zxen
◎	zxeo
╳	zxep
※	zxeq
♂	zxer
♀	zxes
§	zxet
￥	zxeu
˙	zxev
⊕	zxew
℅	zxex
￠	zxey
￡	zxez
€	zxfa
℃	zxfb
℉	zxfc
°	zxfd
÷	zxfe
±	zxff
≦	zxfg
≧	zxfh
≠	zxfi
√	zxfj
＝	zxfk
∞	zxfl
≒	zxfm
≡	zxfn
∽	zxfo
∪	zxfp
∩	zxfq
